YEAR,MONTH,avg SURF_TEMP_C
2000,1,14.76
2000,2,15.01
2000,3,15.08
2000,4,16.23
2000,5,17.64
2000,6,20.17
2000,7,21.15
2000,8,21.46
2000,9,20.61
2000,10,18.73
2000,11,16.21
2000,12,15.22
2001,1,14.65
2001,2,13.80
2001,3,15.14
2001,4,15.73
2001,5,17.86
2001,6,20.21
2001,7,19.51
2001,8,22.02
2001,9,20.29
2001,10,18.64
2001,11,16.15
2001,12,14.43
2002,1,14.45
2002,2,14.65
2002,3,14.59
2002,4,15.60
2002,5,17.15
2002,6,19.38
2002,7,20.93
2002,8,21.22
2002,9,20.35
2002,10,17.85
2002,11,16.95
2002,12,15.67
2003,1,15.52
2003,2,15.70
2003,3,15.85
2003,4,15.72
2003,5,16.75
2003,6,18.46
2003,7,20.84
2003,8,21.12
2003,9,20.65
2003,10,19.16
2003,11,17.03
2003,12,15.28
2004,1,14.52
2004,2,14.40
2004,3,15.75
2004,4,17.29
2004,5,19.53
2004,6,20.27
2004,7,20.90
2004,8,22.00
2004,9,22.55
2004,10,19.56
2004,11,17.43
2004,12,15.83
2005,1,15.77
2005,2,15.80
2005,3,16.92
2005,4,16.43
2005,5,19.08
2005,6,19.85
2005,7,21.59
2005,8,21.74
2005,9,19.84
2005,10,18.94
2005,11,17.66
2005,12,15.74
2006,1,15.02
2006,2,15.07
2006,3,14.11
2006,4,15.88
2006,5,17.67
2006,6,20.77
2006,7,23.15
2006,8,22.46
2006,9,20.54
2006,10,18.58
2006,11,17.87
2006,12,15.99
2007,1,14.68
2007,2,15.02
2007,3,15.36
2007,4,15.90
2007,5,17.16
2007,6,19.48
2007,7,21.21
2007,8,23.23
2007,9,19.99
2007,10,18.30
2007,11,16.85
2007,12,14.85
2008,1,13.85
2008,2,14.15
2008,3,15.37
2008,4,16.09
2008,5,18.28
2008,6,19.60
2008,7,21.01
2008,8,21.99
2008,9,20.50
2008,10,18.78
2008,11,17.81
2008,12,15.38
2009,1,14.76
2009,2,14.64
2009,3,15.14
2009,4,16.13
2009,5,18.58
2009,6,19.58
2009,7,21.01
2009,8,22.79
2009,9,22.45
2009,10,19.20
2009,11,17.31
2009,12,15.55
2010,1,15.46
2010,2,15.65
2010,3,15.82
2010,4,16.25
2010,5,17.20
2010,6,19.49
2010,7,18.89
2010,8,19.17
2010,9,18.07
2010,10,19.10
2010,11,16.87
2010,12,14.52
2011,1,14.75
2011,2,14.50
2011,3,14.65
2011,4,16.54
2011,5,17.53
2011,6,18.11
2011,7,20.91
2011,8,19.46
2011,9,18.73
2011,10,17.70
2011,11,16.24
2011,12,14.71
2012,1,14.83
2012,2,14.88
2012,3,14.07
2012,4,15.21
2012,5,18.38
2012,6,19.05
2012,7,19.87
2012,8,21.86
2012,9,20.62
2012,10,19.79
2012,11,17.33
2012,12,15.79
2013,1,13.66
2013,2,14.05
2013,3,15.04
2013,4,16.14
2013,5,18.86
2013,6,20.09
2013,7,20.43
2013,8,20.05
2013,9,20.56
2013,10,19.04
2013,11,17.46
2013,12,15.87
2014,1,15.95
2014,2,16.05
2014,3,17.65
2014,4,16.86
2014,5,19.29
2014,6,21.04
2014,7,22.24
2014,8,22.88
2014,9,22.20
2014,10,21.70
2014,11,19.50
2014,12,17.88
2015,1,16.69
2015,2,17.31
2015,3,17.86
2015,4,17.89
2015,5,18.14
2015,6,19.40
2015,7,21.71
2015,8,22.72
2015,9,24.09
2015,10,22.26
2015,11,19.53
2015,12,17.49
2016,1,15.97
2016,2,16.41
2016,3,17.08
2016,4,17.70
2016,5,18.84
2016,6,19.63
2016,7,22.99
2016,8,21.79
2016,9,20.38
2016,10,19.46
2016,11,18.28
2016,12,15.66
2017,1,15.40
2017,2,15.18
2017,3,16.48
2017,4,16.95
2017,5,17.81
2017,6,19.24
2017,7,23.01
2017,8,21.93
2017,9,22.03
2017,10,20.50
2017,11,17.75
2017,12,16.69
2018,1,16.32
2018,2,16.02
2018,3,15.33
2018,4,16.53
2018,5,17.38
2018,6,20.18
2018,7,23.38
2018,8,24.73
2018,9,21.98
2018,10,19.29
2018,11,18.86
2018,12,16.89
2019,1,15.85
2019,2,14.93
2019,3,15.80
2019,4,17.26
2019,5,18.20
2019,6,19.16
2019,7,21.16
2019,8,21.95
2019,9,23.13
2019,10,19.65
2019,11,17.84
2019,12,16.13
2020,1,15.88
2020,2,15.76
2020,3,16.36
2020,4,17.07
2020,5,19.61
2020,6,20.15
2020,7,20.70
2020,8,20.77
2020,9,21.40
2020,10,20.50
2020,11,16.94
2020,12,15.66
2021,1,14.68
2021,2,14.76
2021,3,14.85
2021,4,17.05
2021,5,18.72
2021,6,19.68
2021,7,22.24
2021,8,20.52
2021,9,19.40
2021,10,18.69
2021,11,17.58
2021,12,15.76
2022,1,15.37
2022,2,15.48
2022,3,15.53
2022,4,16.13
2022,5,17.84
2022,6,20.38
2022,7,21.25
2022,8,22.46
2022,9,22.06
2022,10,20.23
2022,11,17.40
2022,12,15.15
2023,1,14.74
2023,2,14.03
2023,3,14.55
2023,4,15.03
2023,5,17.58
2023,6,18.10
2023,7,20.88
2023,8,20.90
2023,9,21.04
2023,10,19.63
2023,11,17.62
2023,12,16.97
